trade_id,trader_id,trader_name,trade_date,entry_time,exit_time,exit_date,trading_session,asset,asset_class,trade_type,strategy,entry_price,exit_price,stop_loss,take_profit,quantity,risk_pct,reward_pct,profit_loss,fees,net_profit,trade_duration_min,win_loss,account_balance,max_drawdown_pct,risk_reward_ratio,emotional_state,trade_notes,data_source,entry_datetime,exit_datetime,price_outlier
TT-008828,TR-012,T. Bergman,2025-11-25,17:36:13,,,New York,ETH,Crypto,Sell,Scalping,1035.49461,,1043.71832,1024.88603,13.6792,1.0,1.291,,12.04,,,,11108.79,74.863,1.29,Neutral,"Setup failed, stop hit as planned.",synthetic,2025-11-25 17:36:13,,False
TT-005364,TR-007,D. Novak,2025-01-17,20:06:28,,,New York,EURUSD,Forex,Buy,Breakout,0.8198,,0.81812,0.82337,53636.921945,1.152,2.443,,5.28,,,,7766.79,73.135,2.12,Neutral,"Setup failed, stop hit as planned.",synthetic,2025-01-17 20:06:28,,False
TT-008005,TR-011,N. Haddad,2025-09-01,16:12:08,,,New York,BTC,Crypto,Buy,Trend Following,11662.25998,,11446.152,12422.96007,2.688908,0.862,3.034,,23.52,,,,66819.73,30.204,3.52,Anxious,Second-guessed the entry and exited into noise.,synthetic,2025-09-01 16:12:08,,False
TT-009113,TR-001,A. Kapoor,2025-12-26,19:00:04,,,New York,BTC,Crypto,Buy,Scalping,13379.769,,13280.67267,13514.54001,6.430693,0.897,1.22,,64.53,,,,71886.54,28.476,1.36,Confident,"Good execution, momentum confirmed the bias early.",synthetic,2025-12-26 19:00:04,,False
TT-005479,TR-006,K. Watanabe,2025-01-28,16:12:22,,,New York,EURUSD,Forex,Sell,Mean Reversion,0.80934,,0.8117,0.80522,295088.791591,1.516,2.653,,28.66,,,,46416.24,33.006,1.75,Confident,"Read the EURUSD structure well, scaled out at target.",synthetic,2025-01-28 16:12:22,,False
TT-006974,TR-008,R. Sharma,2025-06-04,16:34:26,,,New York,BTC,Crypto,Buy,Scalping,14260.54484,,14172.79875,14346.536,4.323175,1.152,1.129,,46.24,,,,32534.6,52.519,0.98,Neutral,"Setup failed, stop hit as planned.",synthetic,2025-06-04 16:34:26,,False
TT-002517,TR-010,P. Silva,2024-06-14,16:57:47,,,New York,US30,Index,Buy,Order Block (SMC),39988.04657,,39699.3297,40782.01797,0.201699,1.532,4.213,,1.61,,,,3717.46,70.541,2.75,Confident,Was too sure of the bias and ignored the opposing signal.,synthetic,2024-06-14 16:57:47,,False
TT-009891,TR-008,R. Sharma,2026-03-17,19:00:44,,,New York,NASDAQ,Index,Buy,Breakout,39114.46383,,38822.65043,39665.99116,1.559678,1.255,2.373,,13.42,,,,36055.38,64.176,1.89,Anxious,Second-guessed the entry and exited into noise.,synthetic,2026-03-17 19:00:44,,False
TT-001701,TR-007,D. Novak,2024-04-24,16:25:00,,,New York,GOLD,Commodity,Sell,Trend Following,2240.17525,,2252.45569,2211.93023,41.055616,2.192,5.042,,27.59,,,,23622.78,33.736,2.3,Neutral,"Standard trend following entry, nothing special. Target reached.",synthetic,2024-04-24 16:25:00,,False
TT-002957,TR-011,N. Haddad,2024-07-12,04:11:49,,,Asia,GOLD,Commodity,Sell,Scalping,2520.28718,,2523.23392,2516.95738,240.086503,1.348,1.524,,181.53,,,,53184.03,20.328,1.13,Disciplined,"Followed the plan exactly. Entry at level, stop below structure, target hit.",synthetic,2024-07-12 04:11:49,,False
TT-003997,TR-006,K. Watanabe,2024-09-30,05:02:19,,,Asia,EURUSD,Forex,Buy,Breakout,0.84571,,0.84294,0.85112,37316.849042,0.278,0.541,,3.79,,,,37512.24,20.642,1.95,Disciplined,"Clean breakout setup on EURUSD, waited for confirmation and let the target fill.",synthetic,2024-09-30 05:02:19,,False
TT-002267,TR-001,A. Kapoor,2024-05-30,20:19:27,,,New York,BTC,Crypto,Buy,Scalping,22886.05345,,22704.36066,23107.71865,2.074147,1.019,1.244,,35.6,,,,36553.35,27.574,1.22,Disciplined,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic,2024-05-30 20:19:27,,False
TT-008785,TR-012,T. Bergman,2025-11-20,20:41:42,,,New York,EURUSD,Forex,Buy,News Trading,0.82207,,0.81835,0.833,38294.833454,1.377,4.048,,3.78,,,,10192.92,74.863,2.94,Neutral,"Choppy conditions on EURUSD, no follow-through.",synthetic,2025-11-20 20:41:42,,False
TT-002978,TR-004,J. Okafor,2024-07-15,09:58:27,,,London,ETH,Crypto,Sell,Order Block (SMC),977.37937,,1001.90782,906.9827,77.655235,1.47,4.219,,64.51,,,,127593.56,13.173,2.87,FOMO,"No setup, pure fear of missing out. Deserved loss.",synthetic,2024-07-15 09:58:27,,False
TT-001974,TR-006,K. Watanabe,2024-05-11,16:46:46,,,New York,BTC,Crypto,Buy,Mean Reversion,25826.56759,,25411.19043,26428.86448,1.130736,1.052,1.526,,21.9,,,,44148.99,12.239,1.45,,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic,2024-05-11 16:46:46,,False
TT-001485,TR-007,D. Novak,2024-04-08,19:56:44,,,New York,NASDAQ,Index,Sell,Trend Following,17402.18574,,17525.9098,17125.04385,3.633725,2.647,5.93,,13.91,,,,16519.36,31.573,2.24,Greedy,Held past the invalidation hoping for more. Bad exit.,synthetic,2024-04-08 19:56:44,,False
TT-000829,TR-002,M. Chen,2024-02-29,08:48:12,,,London,GOLD,Commodity,Buy,Swing,2004.5379,,1989.0509,2067.1054,32.792978,1.893,7.648,,19.72,,,,26301.68,8.321,4.04,Greedy,Held past the invalidation hoping for more. Bad exit.,synthetic,2024-02-29 08:48:12,,False
