trade_id,trader_id,trader_name,trade_date,entry_time,exit_time,exit_date,trading_session,asset,asset_class,trade_type,strategy,entry_price,exit_price,stop_loss,take_profit,quantity,risk_pct,reward_pct,profit_loss,fees,net_profit,trade_duration_min,win_loss,account_balance,max_drawdown_pct,risk_reward_ratio,emotional_state,trade_notes,data_source
TT-004670,TR-002,M. Chen,2024-11-21,06:44:54,06:47:54,2024-11-21,Asia,US30,Index,Sell,Scalping,46017.00617,45871.5981,46161.82624,45886.66811,1.010356,0.577,0.519,146.91,9.3,137.61,3.0,Win,25491.92,44.888,0.9,Disciplined,"A+ setup. Risk sized correctly, no interference after entry.",synthetic
TT-008310,TR-003,S. Iyer,2025-10-03,02:47:13,04:47:13,2025-10-03,Asia,EURUSD,Forex,Sell,Trend Following,0.84581,0.8481,0.8481,0.83985,32108.34209,1.117,2.916,-73.38,3.26,-76.64,120.0,Loss,6490.9,76.332,2.61,Confident,"Overconfident after a winning run, skipped confirmation.",synthetic
TT-001584,TR-010,P. Silva,2024-04-11,06:52:52,07:59:52,2024-04-11,Asia,NASDAQ,Index,Buy,Trend Following,17581.41302,17523.17985,17404.43812,18055.70576,0.808577,1.922,5.15,-47.09,3.13,-50.22,67.0,Loss,7395.76,43.286,2.68,Anxious,Second-guessed the entry and exited into noise.,synthetic
TT-009808,TR-012,T. Bergman,2026-03-10,10:02:10,16:06:10,2026-03-10,London,BTC,Crypto,Sell,Trend Following,22854.06758,24056.63485,24056.63485,19919.80344,0.114728,1.2,2.927,-137.97,1.97,-139.94,364.0,Loss,11361.05,74.863,2.44,Neutral,"Choppy conditions on BTC, no follow-through.",synthetic
TT-008169,TR-004,J. Okafor,2025-09-17,09:57:39,10:11:39,2025-09-17,London,ETH,Crypto,Sell,News Trading,1579.6543,1383.16291,1636.61844,1383.12802,50.927208,1.489,5.137,10006.76,68.38,9938.38,14.0,Win,204774.44,18.669,3.45,Greedy,,synthetic
TT-007184,TR-009,E. Bauer,2025-06-22,13:28:48,13:34:48,2025-06-22,  New York ,BTC,Crypto,Sell,Scalping,11060.05012,11119.97843,11181.39665,10950.83825,0.936661,1.757,1.581,-56.13,7.77,-63.9,6.0,Loss,6405.13,79.618,0.9,FOMO,"No setup, pure fear of missing out. Deserved loss.",synthetic
TT-000241,TR-009,E. Bauer,2024-01-19,15:20:01,15:24:01,2024-01-19,New York,GOLD,Commodity,Buy,Scalping,2149.52189,2155.68749,2143.53586,2155.68749,45.207038,0.996,1.026,278.73,29.15,249.58,4.0,Win,27427.2,9.432,1.03,Confident,"Good execution, momentum confirmed the bias early.",synthetic
TT-003722,TR-011,N. Haddad,2024-09-04,15:37:33,16:34:33,2024-09-04,New York,BTC,Crypto,Sell,Breakout,19136.28899,18206.70438,19502.26719,18206.70438,1.126636,0.831,2.11,1047.3,16.17,1031.13,57.0,Win,50664.74,20.328,2.54,Confident,"Read the BTC structure well, scaled out at target.",synthetic
TT-006124,TR-002,M. Chen,2025-03-21,20:08:51,20:30:51,2025-03-21,New York,NASDAQ,Index,Sell,Mean Reversion,30379.00291,30166.42847,30637.85405,30104.6207,1.030241,1.325,1.404,219.0,6.89,212.11,22.0,Win,20340.99,44.888,1.06,Confident,"Read the NASDAQ structure well, scaled out at target.",synthetic
TT-002105,TR-010,P. Silva,2024-05-20,19:14:32,19:17:32,2024-05-20,New York,GOLD,Commodity,Sell,Scalping,2157.00787,2162.56062,2162.56062,2151.39958,17.948463,1.78,1.797,-99.66,11.61,-111.27,3.0,Loss,5488.85,60.412,1.01,Disciplined,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic
TT-006707,TR-004,J. Okafor,2025-05-13,03:06:32,04:20:32,2025-05-13,Asia,BTC,Crypto,Sell,Order Block (SMC),19143.83276,19227.05854,19408.37236,18588.2996,1.667968,0.307,0.645,-138.82,23.95,-162.77,74.0,Loss,143494.25,18.669,2.1,Disciplined,,synthetic
TT-000373,TR-001,A. Kapoor,2024-01-31,10:26:17,11:06:17,2024-01-31,London,EURUSD,Forex,Buy,Breakout,1.08747,1.08378,1.08378,1.0988,70443.793725,0.533,1.635,-259.92,9.19,-269.11,40.0,Loss,48539.52,6.859,3.07,Neutral,"Choppy conditions on EURUSD, no follow-through.",synthetic
TT-010245,TR-001,A. Kapoor,2026-04-21,15:10:17,15:18:17,2026-04-21,New York,EURUSD,Forex,Sell,Scalping,0.78764,0.78816,0.78816,0.78709,1297717.656947,0.858,0.927,-669.03,122.66,-791.69,8.0,Loss,77166.24,28.476,1.08,Neutral,"Choppy conditions on EURUSD, no follow-through.",synthetic
TT-004858,TR-007,D. Novak,2024-12-04,04:45:31,07:14:31,2024-12-04,Asia,EURUSD,Forex,Buy,Trend Following,0.79737,0.79496,0.79506,0.80645,134390.394452,2.219,8.699,-324.73,12.86,-337.59,149.0,Loss,13692.3,55.704,3.92,Confident,"Overconfident after a winning run, skipped confirmation.",synthetic
TT-007807,TR-008,R. Sharma,2025-08-13,14:57:13,17:29:13,2025-08-13,New York,US30,Index,Buy,Mean Reversion,66265.37456,65667.09772,65667.09772,66875.61694,0.567679,1.195,1.219,-339.63,7.52,-347.15,152.0,Loss,28082.82,60.195,1.02,Neutral,"Setup failed, stop hit as planned.",synthetic
TT-008999,TR-004,J. Okafor,2025-12-15,14:02:55,19:29:55,2025-12-15,New York,ETH,Crypto,Sell,Order Block (SMC),1154.01412,1086.1385,1178.08349,1086.1385,124.95871,1.453,4.097,8481.65,122.57,8359.08,327.0,Win,215365.08,18.669,2.82,FOMO,"Entered late without confirmation. Worked, but the process was wrong.",synthetic
TT-001267,TR-005,L. Fernandez,2024-03-27,03:41:47,03:42:47,2024-03-27,Asia,US30,Index,Buy,Scalping,40267.51438,40282.22151,40227.49918,40302.32761,3.400805,1.479,1.287,50.02,27.39,22.63,1.0,Win,9221.02,37.945,0.87,Anxious,"Hesitated on entry, still worked but I left money on the table.",synthetic
TT-002443,TR-010,P. Silva,2024-06-10,09:17:22,09:46:22,2024-06-10,London,BTC,Crypto,Sell,Mean Reversion,20265.87098,20491.14654,20788.86104,19402.93738,0.166637,2.081,3.433,-37.54,2.53,-40.07,29.0,Loss,4148.45,67.954,1.65,Anxious,"Cut the position early in fear, price later reached my target.",synthetic
TT-003916,TR-011,N. Haddad,2024-09-20,15:12:12,15:37:12,2024-09-20,New York,BTC,Crypto,Buy,Breakout,23871.55884,23482.4066,23482.4066,25011.77489,0.479402,0.336,0.985,-186.56,8.58,-195.14,25.0,Loss,55314.48,20.328,2.93,Disciplined,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic
TT-000695,TR-011,N. Haddad,2024-02-20,12:09:09,15:20:09,2024-02-20,London,ETH,Crypto,Buy,Trend Following,2154.41355,2099.34438,2090.58672,2351.00016,2.773166,0.424,1.306,-152.72,5.08,-157.8,191.0,Loss,41585.63,16.44,3.08,Anxious,Second-guessed the entry and exited into noise.,synthetic
TT-008828,TR-012,T. Bergman,2025-11-25,17:36:13,,,New York,ETH,Crypto,Sell,Scalping,1035.49461,,1043.71832,1024.88603,13.6792,1.0,1.291,,12.04,,,,11108.79,74.863,1.29,Neutral,"Setup failed, stop hit as planned.",synthetic
TT-000320,TR-011,N. Haddad,2024-01-26,04:35:46,05:39:46,2024-01-26,Asia,NASDAQ,Index,Buy,Breakout,15717.7847,15563.51516,15563.51516,16089.57431,2.712374,0.87,2.096,-418.44,9.38,-427.82,64.0,Loss,47692.47,6.282,2.41,Disciplined,NASDAQ reversed on higher-timeframe supply. Good loss.,synthetic
TT-006295,TR-003,S. Iyer,2025-04-08,13:15:13,15:44:13,2025-04-08,New York,BTC,Crypto,Buy,Breakout,20475.02102,19969.78424,19969.78424,21652.22272,0.226913,1.21,2.819,-114.64,3.48,-118.12,149.0,Loss,9358.07,62.449,2.33,Confident,"Overconfident after a winning run, skipped confirmation.",synthetic
TT-008632,TR-003,S. Iyer,2025-11-07,08:32:42,08:44:42,2025-11-07,London,ETH,Crypto,Buy,Scalping,1120.74758,1113.16323,1113.16323,1128.40776,8.294737,1.141,1.152,-62.91,7.9,-70.81,12.0,Loss,5442.96,76.332,1.01,Disciplined,"Plan followed, thesis invalidated. Acceptable loss, nothing to fix.",synthetic
TT-003733,TR-010,P. Silva,2024-09-05,15:52:10,15:53:10,2024-09-05,New York,BTC,Crypto,Buy,Scalping,19725.43033,19555.66868,19534.18492,19914.76328,0.553047,5.062,5.011,-93.89,8.18,-102.07,1.0,Loss,1987.37,85.283,0.99,Revenge,"Revenge trade straight after a loss. Size was reckless, no setup.",synthetic
TT-000242,TR-003,S. Iyer,2024-01-20,02:14:46,02:24:46,2024-01-20,Asia,ETH,Crypto,Buy,Scalping,2259.91442,2244.49414,2244.49414,2275.95152,17.21675,1.776,1.847,-265.49,33.07,-298.56,10.0,Loss,14648.05,12.559,1.04,Neutral,"Choppy conditions on ETH, no follow-through.",synthetic
TT-009126,TR-004,J. Okafor,2025-12-28,19:30:24,19:59:24,2025-12-28,New York,ETH,Crypto,Sell,Breakout,1324.82594,1333.7847,1349.85418,1273.0175,75.4391,0.901,1.865,-675.84,84.95,-760.79,29.0,Loss,208859.09,18.669,2.07,Confident,Was too sure of the bias and ignored the opposing signal.,synthetic
TT-000956,TR-009,E. Bauer,2024-03-10,20:43:47,21:23:47,2024-03-10,New York,BTC,Crypto,Sell,Order Block (SMC),23207.15839,23759.88478,23759.88478,21731.37893,1.393465,2.691,7.184,-770.2,24.25,-794.45,40.0,Loss,27829.97,14.348,2.67,FOMO,Chased the BTC candle after the move was done. Immediate reversal.,synthetic
TT-000456,TR-010,P. Silva,2024-02-05,10:47:46,11:02:46,2024-02-05,London,GOLD,Commodity,Buy,Mean Reversion,2103.15278,2095.30126,2087.5374,2128.29355,41.861668,5.319,8.564,-328.68,26.41,-355.09,15.0,Loss,11934.2,16.086,1.61,Revenge,Tried to recover the previous loss in one trade. Textbook tilt.,synthetic
TT-010489,TR-001,A. Kapoor,2026-05-13,05:21:38,06:34:38,2026-05-13,Asia,BTC,Crypto,Sell,Breakout,26566.36314,27304.88273,27304.88273,24926.84966,1.000878,0.861,1.911,-739.17,19.94,-759.11,73.0,Loss,85087.65,28.476,2.22,Confident,"Overconfident after a winning run, skipped confirmation.",synthetic
TT-004373,TR-003,S. Iyer,2024-10-30,04:49:34,05:04:34,2024-10-30,Asia,BTC,Crypto,Buy,Order Block (SMC),16035.01277,15748.5168,15620.8688,16871.5836,0.35622,1.415,2.858,-102.06,4.28,-106.34,15.0,Loss,10319.55,62.449,2.02,Neutral,"Setup failed, stop hit as planned.",synthetic
TT-006075,TR-001,A. Kapoor,2025-03-17,14:04:40,17:39:40,2025-03-17,New York,NASDAQ,Index,Buy,Breakout,29927.06548,29629.38536,29629.38536,30462.8897,2.61812,1.157,2.082,-779.36,17.24,-796.6,215.0,Loss,66572.68,27.584,1.8,Neutral,"Choppy conditions on NASDAQ, no follow-through.",synthetic
TT-010464,TR-012,T. Bergman,2026-05-10,08:28:11,08:32:11,2026-05-10,London,ETH,Crypto,Buy,Scalping,1669.71695,1657.83421,1657.83421,1682.43148,4.244076,0.374,0.4,-50.43,6.02,-56.45,4.0,Loss,13422.35,74.863,1.07,Confident,"Overconfident after a winning run, skipped confirmation.",synthetic
