trader_id,trader_name,trades,wins,net_profit,gross_profit,gross_loss,fees,avg_r,total_r,avg_rr,avg_risk_pct,max_drawdown_pct,final_balance,max_win_streak,max_loss_streak,tilt_rate,first_trade,last_trade,win_rate,profit_factor,expectancy_usd
TR-004,J. Okafor,833,344,198242.58000000002,905853.16,707610.58,65994.29,0.14656884431493014,122.09184731433682,2.294633853541417,0.8896410564225691,18.668604284732613,297580.07,6,9,9.603841536614647,2024-01-03,2026-06-26,41.29651860744298,1.280157738738163,237.9862905162065
TR-011,N. Haddad,1074,398,55046.52,630629.03,575582.51,48484.4,0.08635609873199475,92.74645003816237,2.3148417132216013,1.2418826815642456,30.204049668945533,104379.71,6,11,16.666666666666664,2024-01-01,2026-06-25,37.05772811918063,1.0956361929760514,51.25374301675977
TR-006,K. Watanabe,1110,432,46950.67,442295.97000000003,395345.3,34786.15,0.08822513422993328,97.92989899522594,2.2772612612612613,1.1685072072072071,33.00630328339021,80823.19,7,10,15.585585585585585,2024-01-01,2026-06-30,38.91891891891892,1.1187586395993578,42.2979009009009
TR-001,A. Kapoor,967,374,30241.36,428915.37,398674.01,34381.81,0.1096933562578754,106.07347550136551,2.3276732161323683,1.049804550155119,28.475675726159526,80833.65,8,15,13.236814891416754,2024-01-01,2026-06-30,38.67631851085832,1.0758548569544324,31.27338159255429
TR-002,M. Chen,1034,358,-3566.73,172938.56,176505.29,14067.83,-0.0018763720910189808,-1.9401687421136262,2.34073500967118,1.2102195357833656,44.88787494836862,21840.03,6,17,17.891682785299807,2024-01-01,2026-06-30,34.622823984526114,0.9797925036694367,-3.449448742746615
TR-005,L. Fernandez,375,107,-8424.93,23641.45,32066.38,2344.02,-0.16021305692058554,-60.07989634521958,2.3952,2.1466053333333335,86.51727479848644,1607.82,5,30,27.46666666666667,2024-01-05,2024-08-19,28.53333333333333,0.7372659464523279,-22.46648
TR-010,P. Silva,409,125,-10031.43,31049.2,41080.63,2914.16,-0.11945639819366534,-48.857666861209125,2.3425916870415646,2.4142640586797066,86.44281889076169,1806.5,4,21,25.67237163814181,2024-01-01,2024-09-06,30.56234718826406,0.7558111937426472,-24.52672371638142
TR-003,S. Iyer,1208,395,-11678.4,79923.65,91602.05,7258.6,-0.04433914805788987,-53.56169085393096,2.3038079470198674,1.5906283112582782,82.38834577846136,3351.28,7,21,22.516556291390728,2024-01-01,2026-06-30,32.698675496688736,0.8725094034467569,-9.667549668874171
TR-012,T. Bergman,1088,369,-15066.51,120360.73,135427.24,10589.41,-0.030966703500731732,-33.691773408796124,2.3419761029411768,1.4129430147058823,74.86288046053161,12235.38,7,15,20.496323529411764,2024-01-04,2026-06-30,33.91544117647059,0.8887483049938846,-13.847895220588235
TR-007,D. Novak,727,225,-18825.280000000002,104092.67,122917.95,9868.86,-0.1277291197594642,-92.85907006513047,2.3093672627235216,1.8706011004126546,89.89603585910243,3088.3,4,14,24.484181568088033,2024-01-03,2025-07-08,30.949105914718018,0.8468467786844802,-25.894470426409907
TR-008,R. Sharma,1125,396,-19457.719999999998,338708.9,358166.62,27139.83,0.0028006008908923632,3.150676002253909,2.33016,1.1211760000000002,64.17597905553896,41499.46,6,18,17.333333333333336,2024-01-01,2026-06-30,35.199999999999996,0.9456741111162175,-17.29575111111111
TR-009,E. Bauer,831,264,-23246.14,92852.28,116098.42,8537.5,-0.09531655855888524,-79.20806016243364,2.324187725631769,1.3596774969915766,85.11085572302186,4667.79,6,15,20.81829121540313,2024-01-01,2025-10-04,31.768953068592058,0.7997721243751638,-27.973694344163658
